install_condition: 1 = trenched; 2 = bored; 3 = attached,,,
ch_index,install_condition,easting,northing
1,1,628002,4271947
2,1,628002,4271949
3,1,628002,4271951
4,1,628002,4271953
5,1,628001,4271955
6,1,628001,4271957
7,1,628001,4271959
8,1,628001,4271961
9,1,628001,4271963
10,1,628001,4271965
11,1,628001,4271967
12,1,628000,4271969
13,1,628000,4271971
14,1,628000,4271973
15,1,628000,4271975
16,1,628000,4271977
17,1,628000,4271979
18,1,628000,4271981
19,1,627999,4271983
20,1,627999,4271985
21,1,627999,4271987
22,1,627999,4271989
23,1,627999,4271991
24,1,627999,4271993
25,1,627998,4271995
26,1,627998,4271997
27,1,627998,4271999
28,1,627998,4272001
29,1,627998,4272003
30,1,627998,4272005
31,1,627998,4272007
32,1,627997,4272009
33,1,627997,4272011
34,1,627997,4272013
35,1,627997,4272015
36,1,627995,4272015
37,1,627993,4272016
38,1,627991,4272016
39,1,627989,4272017
40,1,627987,4272017
41,1,627985,4272017
42,1,627983,4272018
43,1,627982,4272018
44,1,627980,4272019
45,1,627978,4272019
46,1,627976,4272019
47,1,627974,4272020
48,1,627972,4272020
49,1,627970,4272021
50,1,627968,4272021
51,1,627966,4272021
52,1,627964,4272022
53,1,627962,4272022
54,1,627960,4272023
55,1,627958,4272023
56,1,627956,4272023
57,1,627954,4272024
58,1,627952,4272024
59,1,627950,4272025
60,1,627948,4272025
61,1,627946,4272025
62,1,627944,4272026
63,1,627942,4272026
64,1,627940,4272027
65,1,627938,4272027
66,1,627936,4272027
67,1,627934,4272028
68,1,627933,4272028
69,1,627931,4272029
70,1,627929,4272029
71,1,627927,4272029
72,1,627925,4272030
73,1,627923,4272030
74,1,627921,4272031
75,1,627919,4272031
76,1,627917,4272031
77,1,627915,4272032
78,1,627913,4272032
79,1,627911,4272033
80,1,627909,4272033
81,1,627907,4272033
82,1,627905,4272034
83,1,627903,4272034
84,1,627901,4272035
85,1,627899,4272035
86,1,627897,4272035
87,1,627895,4272036
88,1,627893,4272036
89,1,627891,4272037
90,1,627889,4272037
91,1,627887,4272037
92,1,627886,4272038
93,1,627884,4272038
94,1,627882,4272039
95,1,627880,4272039
96,1,627878,4272039
97,1,627876,4272040
98,1,627874,4272041
99,1,627872,4272042
100,1,627871,4272043
101,1,627869,4272044
102,1,627868,4272046
103,1,627867,4272047
104,1,627865,4272049
105,1,627864,4272051
106,1,627864,4272052
